emil1,12345678,Browser Yes
emil2,12345678,Browser No
emil3,12345678,Browser No
emil4,12345678,Browser No
emil5,12345678,Browser No
emil6,12345678,Browser No
emil7,12345678,Browser No
emil8,12345678,Browser No
emil9,12345678,Browser No
emil10,12345678,Browser No
emil11,12345678,Browser No
emil12,12345678,Browser No
emil13,12345678,Browser No
emil14,12345678,Browser No
emil15,12345678,Browser No
emil16,12345678,Browser No
emil17,12345678,Browser No
emil18,12345678,Browser No
emil19,12345678,Browser No
emil20,12345678,Browser No
